Ano,Produto,Categoria,Evento,Coluna,Inicio,Fim
2026,Graduação EAD,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Mudança de Curso - Engenharias,52,20/02/2026,30/04/2026
2026,Graduação EAD,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Mudança de Curso - Engenharias,53,01/05/2026,16/07/2026
2026,Graduação EAD,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Mudança de Curso - Engenharias,54,17/07/2026,24/09/2026
2026,Profissionalizantes,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Mudança de Curso,71,15/10/2025,10/03/2026
2026,Profissionalizantes,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Reabertura de Matrícula - Inadimplentes,71,16/10/2025,18/03/2026
2026,Profissionalizantes,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Reabertura de Matrícula - Adimplentes,71,21/10/2025,23/03/2026
2026,Profissionalizantes,Serviços atendidos pelo CSC - Secretaria e Financeiro,Prazo para ajustes na secretaria - Reabertura,71,20/03/2026,27/03/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Solicitação de Aproveitamento de Estudos - Veteranos,72,20/02/2026,30/04/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Solicitação de Aproveitamento de Estudos - Candidatos Ingressantes,72,17/03/2026,13/05/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Solicitação de Aproveitamento de Estudos - Ingressantes,72,17/03/2026,13/05/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Prazo para análise de aproveitamento - Veteranos,72,02/05/2026,02/05/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Prazo para ajustes na secretaria - Aproveitamento - Veteranos,72,05/05/2026,05/05/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Prazo para análise de aproveitamento - Candidatos Ingressantes,72,16/05/2026,16/05/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Prazo para análise de aproveitamento - Ingressantes,72,16/05/2026,16/05/2026
2026,Profissionalizantes,Fechamento de Período e Rematrícula,Fechamento de Período e Rematrícula (módulo subsequente*),72,05/07/2026,19/07/2026
2026,Profissionalizantes,Fechamento de Período e Rematrícula,Ação Rematrícula** (Ajustes DP/ADAP),72,20/07/2026,21/07/2026
2026,Profissionalizantes,Fechamento de Período e Rematrícula,Liberação de base no Portal de Negociações (Cobrança),72,20/07/2026,20/07/2026
2026,Profissionalizantes,Fechamento de Período e Rematrícula,Ação Rematrícula** (Alunos sem matrícula e adimplentes),72,22/07/2026,23/07/2026
2026,Profissionalizantes,Lançamento de notas,Lançamento de notas,72,06/07/2026,06/07/2026
2026,Profissionalizantes,Outras rotinas,Processo de Evasão,72,21/09/2026,25/09/2026
2026,Profissionalizantes,Outros serviços atendidos pela Secretaria,Abertura de turmas (rotina da Secretaria),72,05/01/2026,05/01/2026
2026,Profissionalizantes,Outros serviços atendidos pela Secretaria,Solicitação de Alteração de matrizes,72,12/12/2025,12/12/2025
2026,Profissionalizantes,Período letivo,Período letivo,72,04/05/2026,04/07/2026
2026,Profissionalizantes,Rematrícula automática,Rematrícula automática do módulo,72,04/05/2026,22/05/2026
2026,Profissionalizantes,Rematrícula automática,Prazo para negociação (entrada no módulo com boleto D+2),72,16/03/2026,16/03/2026
2026,Profissionalizantes,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Mudança de Curso,72,11/03/2026,19/05/2026
2026,Profissionalizantes,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Reabertura de Matrícula - Adimplentes,72,24/03/2026,18/05/2026
2026,Profissionalizantes,Serviços atendidos pelo CSC - Secretaria e Financeiro,Solicitação de Reabertura de Matrícula - Inadimplentes,72,18/03/2026,13/05/2026
2026,Profissionalizantes,Serviços atendidos pelo CSC - Secretaria e Financeiro,Prazo para ajustes na secretaria - Reabertura,72,22/05/2026,22/05/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Solicitação de Aproveitamento de Estudos - Veteranos,73,01/05/2026,16/07/2026
2026,Profissionalizantes,Aproveitamento de Estudos,Solicitação de Aproveitamento de Estudos - Candidatos Ingressantes,73,19/05/2026,12/08/2026
